Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,serverResponse,server,http://localhost:8080/testfiles/10mb,8.720000041648746
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,971.7250000103377
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,797.6500000222586
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,992.4299999838695
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,1006.299999949988
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,875.6749999593012
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,1016.5699999779463
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,997.6799999712966
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,794.579999987036
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,1215.13500000583
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,1019.7800000314601
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,904.5399999595247
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,957.7450000215322
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,972.8250000043772
O3Ey0z8dvfY2FHmdzknGJVdFlsPooAjt,peerResponse,Pr_A7LJQFebNR9JD3o77Jow1l6i3l8Jg,http://localhost:8080/testfiles/10mb,1074.8700000112876
